id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_hlddq_r,光圆钢筋,403-1-1,bridge,kg,10366.600000000002,,starter_from_design=351-import-v1; target_quantity=10366.600000000002
,wa_hlddq_r,带肋钢筋,403-1-2,bridge,kg,135058.79999999996,,starter_from_design=351-import-v1; target_quantity=135058.79999999996
,wa_hlddq_r,光圆钢筋,403-2-1,bridge,kg,4374.8,,starter_from_design=351-import-v1; target_quantity=4374.8
,wa_hlddq_r,带肋钢筋,403-2-2,bridge,kg,159342.722584,,starter_from_design=351-import-v1; target_quantity=159342.722584
,wa_hlddq_r,冷轧带肋钢筋焊接网 (台身防裂钢筋网）,403-2-3,bridge,kg,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,光圆钢筋,403-3-1,bridge,kg,104813.1993725,,starter_from_design=351-import-v1; target_quantity=104813.1993725
,wa_hlddq_r,带肋钢筋,403-3-2,bridge,kg,465384.1830859998,,starter_from_design=351-import-v1; target_quantity=465384.1830859998
,wa_hlddq_r,D10冷轧钢筋焊接网,403-3-3-2,bridge,kg,53518.33320000001,,starter_from_design=351-import-v1; target_quantity=53518.33320000001
,wa_hlddq_r,光圆钢筋,403-4-1,bridge,kg,13300.8,,starter_from_design=351-import-v1; target_quantity=13300.8
,wa_hlddq_r,带肋钢筋,403-4-2,bridge,kg,63778.26,,starter_from_design=351-import-v1; target_quantity=63778.26
,wa_hlddq_r,基础挖方及回填,404-1,bridge,m3,1779.2,,starter_from_design=351-import-v1; target_quantity=1779.2
,wa_hlddq_r,桩径1.2m,405-3-4,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,桩径1.3m,405-3-5,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,桩径1.5m,405-3-7,bridge,m,612.4000000000002,,starter_from_design=351-import-v1; target_quantity=612.4000000000002
,wa_hlddq_r,桩径1.8m,405-3-10,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,声测管,405-4,bridge,m,1889.7000000000003,,starter_from_design=351-import-v1; target_quantity=1889.7000000000003
,wa_hlddq_r,C30混凝土,410-1-4,bridge,m3,354.84000000000003,,starter_from_design=351-import-v1; target_quantity=354.84000000000003
,wa_hlddq_r,C30混凝土,410-2-1-2,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,C35混凝土,410-2-1-3,bridge,m3,251.06524209752993,,starter_from_design=351-import-v1; target_quantity=251.06524209752993
,wa_hlddq_r,C25混凝土（镇墩）,410-2-1-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,C35混凝土,410-2-2-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,C50混凝土(盖梁挡块）,410-2-3-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,C35混凝土（台帽、挡块、挡土板）,410-2-3-5,bridge,m3,7.02,,starter_from_design=351-import-v1; target_quantity=7.02
,wa_hlddq_r,C35混凝土（耳背墙）,410-2-4-3,bridge,m3,75.56,,starter_from_design=351-import-v1; target_quantity=75.56
,wa_hlddq_r,C50混凝土,410-2-5-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,C35混凝土,410-2-5-5,bridge,m3,514.32,,starter_from_design=351-import-v1; target_quantity=514.32
,wa_hlddq_r,C35混凝土(柱系梁）,410-2-6-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,C35混凝土,410-2-7-5,bridge,m3,10.369999999999997,,starter_from_design=351-import-v1; target_quantity=10.369999999999997
,wa_hlddq_r,C50混凝土,410-5-5,bridge,m3,367.85,,starter_from_design=351-import-v1; target_quantity=367.85
,wa_hlddq_r,C35混凝土,410-6-5,bridge,m3,346.36,,starter_from_design=351-import-v1; target_quantity=346.36
,wa_hlddq_r,C50混凝土（护栏背包砼加劲肋）,410-6-8,bridge,m3,0.6,,starter_from_design=351-import-v1; target_quantity=0.6
,wa_hlddq_r,后张法预应力钢绞线,411-5,bridge,kg,82247.997896,,starter_from_design=351-import-v1; target_quantity=82247.997896
,wa_hlddq_r,C50混凝土（预制部分）,411-8-3-3,bridge,m3,2103.56,,starter_from_design=351-import-v1; target_quantity=2103.56
,wa_hlddq_r,C50混凝土,411-4-8-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,M7.5浆砌片石,413-1-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,衡重式路堤墙墙后填料,413-1-2,bridge,m3,578.0,,starter_from_design=351-import-v1; target_quantity=578.0
,wa_hlddq_r,级配碎石换填,413-1-3,bridge,m3,855.8,,starter_from_design=351-import-v1; target_quantity=855.8
,wa_hlddq_r,六角空心块,413-4-1,bridge,m2,1387.5,,starter_from_design=351-import-v1; target_quantity=1387.5
,wa_hlddq_r,锥坡挡墙（C20片石砼）,413-4-2,bridge,m3,1812.0,,starter_from_design=351-import-v1; target_quantity=1812.0
,wa_hlddq_r,预埋钢材,414-1,bridge,kg,4423.91,,starter_from_design=351-import-v1; target_quantity=4423.91
,wa_hlddq_r,金属防抛网,414-2,bridge,m,90.0,,starter_from_design=351-import-v1; target_quantity=90.0
,wa_hlddq_r,水泥混凝土桥面调平层（C50）,415-1,bridge,m3,419.298,,starter_from_design=351-import-v1; target_quantity=419.298
,wa_hlddq_r,GBZJ 250×300×52mm,416-1-1,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GBZJ 250×250×41mm,416-1-2,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)1.5 SX,416-2-1,bridge,个,26.0,,starter_from_design=351-import-v1; target_quantity=26.0
,wa_hlddq_r,GPZ(2019)1.5 DX,416-2-2,bridge,个,8.0,,starter_from_design=351-import-v1; target_quantity=8.0
,wa_hlddq_r,GPZ(2019)2.5 SX,416-2-3,bridge,个,26.0,,starter_from_design=351-import-v1; target_quantity=26.0
,wa_hlddq_r,GPZ(2019)2.5 DX,416-2-4,bridge,个,21.0,,starter_from_design=351-import-v1; target_quantity=21.0
,wa_hlddq_r,GPZ(2019)2.5 GD,416-2-5,bridge,个,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_hlddq_r,GPZ(2019)2.0 SX,416-2-6,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)2.0 DX,416-2-7,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)3.5 SX,416-2-8,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)3.5 DX,416-2-9,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,GPZ(2019)3.5 GD,416-2-10,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,40型,417-5-1,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,60型,417-5-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,80型,417-5-3,bridge,m,37.14,,starter_from_design=351-import-v1; target_quantity=37.14
,wa_hlddq_r,160型,417-5-5,bridge,m,18.57,,starter_from_design=351-import-v1; target_quantity=18.57
,wa_hlddq_r,DN160,418-1-1,bridge,m,391.6,,starter_from_design=351-import-v1; target_quantity=391.6
,wa_hlddq_r,DN200,418-1-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_hlddq_r,桥面边部碎石盲沟,418-2,bridge,m3,21.599999999999998,,starter_from_design=351-import-v1; target_quantity=21.599999999999998
,wa_hlddq_r,泄水管,418-3,bridge,套,48.0,,starter_from_design=351-import-v1; target_quantity=48.0
